Sentences,Labels
Kecewa dengan pelayanan nya tidak recommended,0
Benar buruk sekali,0
Laundry nya selalu telat hasilnya jelek,0
Sangat melelahkan,0
Saya baru satu kali ke laundry ini celana panjang saya hilang dan staff nya pura pura tidak tau dan setelah saya timbang di rumah laundry saya emang timbangan nya tidak sama jauh kurang nya tolong staff nya untuk jujur,0
Tidak tanggung jawab atas pakaian hilang dan rusak karena alasan peraturan nya self service sudah di ingatkan untuk periksa dan catat jenis dan jumlah pakaian tapi tidak di indahkan pelayanan jelek,0
Kekurangan laundry ini adalah tidak ada fasilitas setrika Jika ada maka hal tersebut bisa jadi pilihan walau harga lebih mahal,0
Gak bagus,0
Sangat kecewa dengan pelayanannya Tidak ada kejujuran diawal setelah merusak baju Setelah saya ketahui baju saya rusak baru mereka mengaku dan hanya meminta maaf Tidak ada ganti rugi sama sekali,0
Alangkah lebih baiknya juga pekerjanya diingatkan untuk tidak jutek dan sombong banget,0
Nyesel saya rekomendasiin ini laundry sama smua teman dan keluarga,0
kecewa dengan salah satu kariyawan yang kurang ramah dan terkesan menyepelekan pelanggan,0
sebagai pelanggan saya sangat kecewa gimana ini pelayanan nya Itu karyawan yang sombong dan kesan milih pelanggan tolong di tegur dia gak cocok kerja di laundry,0
Disana mereka tidak memberikan pelayanan terbaik buat pelanggan,0
Penjaganya tidak ramah,0
Parah total laundry ini laundry nya bau semua seperti pakaian belum kering dipaksa setrika dengan parfum yang norak jadinya malah tambah apek bener beber total nggak recomended,0
Staf sangat tidak ramah,0
Baju cuma disetrika tapi nggak dicuci jadi masih bau banget nggak banget lah pokoknya terus baju putih jadi menguning karena disetrika sangatlah panas,0
ini laundry terburuk pelayanannya lama selesainya lama yang heran kok kasih harga tetep tinggi gak rekomended,0
buat kecewa saya cuci bantal boneka disana malah ngebuntel buntel isi dakronnya biasanya saya laundry ga ada ngebuntal gitu ini malah ngebuntal,0
saya laundry yang expressdi janjikan jam 1 siang tapi belum selesai sampe jam 3 baru di packing ada handuk kotor bisa masuk di cucian saya karyawan sama sekali tidak ramah senyum pun tidak! tutup aja kalau ga bisa service customer dengan benar!,0
Pelayanan sangat buruk tidak direkomendasikan loundry disini,0
Tidak puas pelayanan nunggu lama karyawan nggak kunjung ke luar,0
harga mahal service buruk,0
Baju seperti gak di setrika lipatannya entah gimana lecek semua Kaos kaki tertukar pula Pertama dan terakhir disini,0
Pelayanannya sangat jelek banyak kesalahan yang berulang kali terjadi ke pelanggan kacau parah banget,0
Jelek banget pelayanannya baju saya kotor semua Malah dari yang bersih jadi kotor Kayak abis diinjek injek baju saya Ga profesional Kapok deh laundry disini Minta maaf aja gaada,0
Cukup Kecewa dengan Pelayanan MEC,0
Baju saya kebanyakan hilang pas laundry disini,0
Kemarin saya cuci di mec laundry celana saya kurang emang sering kayak gini ya di mec laundry celnaa ilang ilang gak di kembaliin respon karyawan nya cuek aja gak tau orang celna buar kerja emng parah nih,0
Hasilnya karpet gue jadi bau Gak rekomendes banget Mending cuci sendiri kalo tau begini mah,0
Baju three second saya hilang yg ad gambar bulatnya sama baju uniglo yg warna biru di maling kapok londry disini pegawainya MALING SEMUA MOGA KENA AZAB,0
Pegawainya setelah habis lebaran kemaren ganti ternyata maling semua baju anak saya hilang kemeja beli uniglo hilang tau dia barang yang bagus celana jeans hilang hati hati guys kalo nyuci disini Kapok saya,0
Barang saya hilang Jilbab bini Gak tanggung jawab Cuman jawab aja minta maaf,0
Pick up nya telat diundur jauh dari hari janji pick up nya Saya cuci beberapa item sarung bantal saya ilang Hasil cucian juga kurang bersih masih ada noda menempel,0
kurang wangi dan kurang rapi,0
Saya melihat dan mendengar langsung paket yang di bawa driver over load tidak sesuai dengan berat yang ada di estimasi aplikasinya driver parah kalo mau untung dan laku Nggak begitu caranya,0
Seler nggak ada otak kirim aja sendiri kalo mau 4 drigen ngaco,0
Sangat sangat buruk apalagi selernya judes,0
Sangat buruk,0
pelayanan nya sangat mengecewakan,0
tidak ada sopan santun nya sama sekali,0
staff terkesan kebingungan dan membentak bentak saya nada tinggi,0
Saya pun mendapatkan balasan chat bisa dianggap kurang sopan ya,0
Ga banget ga ada perbaikan pelayanan,0
Tapi laundry pertama kali uda kecewa,0
Tapi maaf hasil cucian punya saya ngga rapih,0
sumpah nyesel banget laundry disini,0
BURUK SANGAT BURUK SANGAT TIDAK BERTANGGUNG JAWAB SANGAT TIDAK TELITI SANGAT TIDAK BAIK ATTITUDE NYA,0
Pelayanan BURUK TIDAK PUAS,0
Bagus di awal Lama lama mengecewakan BURUK,0
Laundry tidak selesai tepat waktu respon komplain kurang memuaskan,0
Cucinya asal Sekali nyuci langsung ada yang ketukar hilang Ga ada tanggung jawab sana sekali,0
cucian hilang tidak ada pertanggung jawaban dari bulan desember 2020 sampai sekarang tidak ada tanggung jawab pelayannya tidak memuaskan,0
tidak ada self service,0
Tidak profesional hilang baju engga diganti Lain kali harus diteliti pelayanannya kurang baik tadinya mau langganan,0
Maap bintangnya 2 Hasil setrikaannya gak rapih pada kusut di setrika lagi oleh saya di rumah jadi susah rapihnya,0
Pelayanan parah ambil yang 24 jam pas udah waktunya ngambil masih nungguin lama banget pas mau dipake bajunya basah bekas gosokan,0
Parah baju hasil setrika masih kusut,0
Tidak rekomen sih menurutku,0
Kecewa,0
Pelayanan tidak professional tidak sesuai dengan review yang ada dan kinerja tidak sesuai waktu kesepakatan,0
Loundry masih kotor dan bau kaya ga di cuci masih ada noda,0
Saya kehilangan jas dan celana hitam nya satu set,0
Banyak banget baju hilang gatau kenapa padahal di hitung dulu sebelum masuk ke dalem sama kasir nya tapi tetap hilang gak bersih noda masih ada,0
Kecewa sama sistem inputannya kalau emang ada kendala atau salah inputan kenapa ga kasih tau dari awal,0
Pelayanan sangat buruk tidak layak di Rekomendasikan sangan mengecewakan,0
Pelayanan buruk,0
Bagi yg baca ini jangan sampai kesini pelayanan sangat buruk dan baju juga gak bersih sama sekali,0
Dan paling parah nyuci baju disini sama sekali gak bersih yang ada makin jorok menang wangi doank tapi baju asli parah kotor nya,0
Pelayanan yg sangat buruk dan buruk tutur kata karyawan nya sombong semua udah kaya bos pemilik laundry aja,0
Pengambilan laundrynya lama,0
pelayanan lambat sekali,0
Baju rusak tidak bertanggung jawab,0
Tidak memuaskan,0
Cukup Kecewa Barang hilang Saat menanyakan tidak ada kompensasi atau standar lain,0
ada laundryan kami hilang malah ada yg kebawa milik orang lain kami kembalikan yang bukan milik kami sebaliknya tak ada tanggung jawabnya atas hilangnya laundryan milik kami lambat laun pelanggan lain juga memilih laundry di tempat yang berbeda,0
pertama kali laundry disini ga worth it secara waktunya di nota laundrynya jadi dalam 3 hari pas hari ketiga langsung ke tempat ternyata belum jadi dan gaada kabar kalau terlambat sangat mengecewakan dan hasilnya wangi parfum laundry biasa gak wangi yang wah,0
Hasil nya tidak sesuai tanggal baju luntur dan baju yang di cuci 1 hilang terima kasih,0
Kecewa Baju tidak selesai dengan keterangan di nota (whatsapp),0
Karyawannya sibuk main hape terus lain kali kalau ada pengunjung mbok ya disapa atau apa,0
Celana saya terkena cat dari tempat ini pemiliknya hanya meminta maaf dan tidak ada tanggung jawab/ ganti rugi sampai sekarang,0
Jilbab rabbani saya hilang ketika saya komplain responnya bintang 1 banget,0
cucian datang dengan tas pengembaliannya bahkan menggunakan plastik bayar mahal tapi tidak bertanggung jawab,0
Karyawannya jutek tidak ada respon yang baik saat ada konsumen bertanya,0
pakaian kurang 2 tidak ada usaha buat tanggung jawab apa gimana sudah 10 hari sangat kecewa,0
Nyuci stroller kurang bersih kurang wangi juga katanya jadi 1 minggu malah jadinya 2 Minggu,0
Sudah langganan tapi karyawan gak teliti Kecewa banget sama kejadian yang saya alami Pelayanannya juga lambat ada beberapa barang yang hilang Ini bagaimana tanggung jawab bos dan anak buahnya? Benar benar mengecewakan!!Karyawannya dibilangin ngeyel jelas jelas kita ada buktinya!,0
Pengirim tidak sesuai waktu saya sudah mau dagang karpetnya belum juga selesai mau di kirim kapan ini,0
Mahal banget sekarang semenjak makin terkenal,0
pelayanan yang sangat sangat sangat buruk sekali namanya dilaundry tapi seperti tidak dicuci masih kotor semua,0
VERY BAD SERVICE NOT RECOMMENDED Saya laundry setelan ada yang hilang tapi tidak ada tanggung jawab dari perusahaan Sudah menghubungi admin namun hanya membela karyawannya yang salah bukannya ditegur karena tidak teliti baik dari kasirnya maupun tenaga produksinya,0
Bintang satu untuk admin wa nya langganan hampir satu tahun dan gak ada kata maaf dari admin kalo telat pengantaran/pickup atau terimakasih kalo sudah menggunakan jasanya kadang pesan hanya dilihat saja tanpa kejelasan,0
Pelayanan sangat jelek Minta dicuci setrika tapi kenyataannya baju bajunya kayak ga disetrika cuma dilipat doang masih pada kusut smua,0
Pengeringnya tidak kering masih basah,0
Selalu jadi pilihan ketika saya akan mencuci baju tapi sayangnya malam ini saya dapat kejadian yang kurang memgenakan dari pihak security saya ditegur dengan cara yang kurang mengenakan hanya karena cucian saya terlihat lebih banyak dari ketentuan,0
Dulu oke tapi sekarang jaket hilang bilangnya susah kalau jaket buat dicari nggak mau tanggung jawab sama sekali bahkan untuk nyari Jujur kecewa banget Auto ganti laundry,0
Kami mencoba jasa Cemerlang Laundry pada Idul Fitri lalu Selain terlambat sehari dari jadwal yang ditentukan dengan alasan mesin rusak baju kami pun hancur (teksturnya menjadi kering) kemungkinan diakibatkan oleh setrika yang terlalu panas Mohon diperbaiki lagi pelayanannya,0
Dulu sudah langganan yang terbaru ini maaf bikin kesal sudah drop laundry 6 hari BELUM DICUCI SAMA SEKALI Ujung ujungnya pegawai bilang diambil saja lagi a Ga ngerti lagi tolong diperbaiki semuanya,0
Janji selesai laundry jam 11 pagi ditelepon bilang belum Baru kasih kabar jam 16an sore kalau sudah selesai dengan alasan lupa no hp customer Diundur lagi Pengambilan malam jam 8 eh jam 8 malam kurang sudah tutup Diundur lagi dijanjikan jam 8 pagi Jam 8 pagi lewat belum buka ga profesional parah,0
kecewa nge laundry disini PRICELIST GAK JELAS saya selalu bayar loundry di awal tapi setelah pakaian selesai mau di ambil saya di suruh nambah bayar lagi alasan nya karena jenis barang yang di cuci meding saya cari yang lain yang LEBIH PROFESIONAL,0
Ada 2 Kaos dalam saya yang putih setelah di laundry jadi berubah warna udah saya chat dan saya kirim fotonya tapi tidak di respon untuk bertanggung jawab,0
kecewa saya kok baju nya bau apek kaya yang ga di kasih pewangi nya baju nya bau kaya yang baju basah ga ke jemur bau sekali,0
Mahal lambat not recommended,0
JANGAN LAUNDRY DI SINI JIKA PAKAIAN ANDA TIDAK MAU RUSAK DAN TIDAK ADA PERTANGGUNG JAWABAN ! 3 pakaian dan 1 pasang kaos kaki tidak bisa dipakai lagi dan terpaksa harus dibuang mereka mengatakan bahwa ini adalah kesalahan mesin di luar tanggung jawab mereka Pakaian saya pun disetrika seperti tidak niat dan diburu buru Tapi konsumen tetap harus bayar,0
Menunggu undangan laundry hingga 3 jam lebih,0
Saya kapok cuci disini ga pernah bersih emang dikira nyari uang gampang apa cuci sepatu dan laundry asal asalan suruh balik lagi dan cuci lagi emang dikira saya banyak waktu apa demi apapun saya kapok cuci disini,0
kancing copot mesin cucinya kasar,0
baju rusak gimana si,0
baju hilang seprai hilang selimut hilang katanya tertukar sama laundryan orang lain sampe sekarang gak balik no respon dan abai fix terakhir laundry disini,0
Bajunya lama banget gak di balikin So sad Terus adminnya gak responsive udah 3 hari di chat sama di telepon gak di bales Di tambah lagi hasil cucian sebelumnya gak wangi sama sekali dan bau apek,0
tidak rapi seperti tidak di setrika udah 2 pakaian hilang laundry 16 pcs setelah selesai cuma kembali 14 waw temen saya juga hilang satu kaos tapi tidak ada pertanggungjawaban,0
2x laundry disana pasti ada yg tertinggal Parahnya lagi laundry an kedua ternyata tidak disetrika Kusut parah lipatan juga ngaco Baru kali ini dapet laundry an macam ini Fix ini yg terakhir,0
Langganan disini Celana hilang satu tapi kurang ada itikad bertanggung jawab dan terkesan plonga plongo,0
Tiap ngelaundry disini entah berapa kali kalo bawa totebag/tas laundry pasti aja hilang jarang dimasukan/dikembalikan lagi ke laundry yang sudah bersih padahal niatnya sambil cuci tas laundry nya juga Bukan ngasih loh ya kita kenapa gak dibalikin lagi,0
Masih pada kotor ga bener nyucinya kayanya cuman di kasih pewangi aja Hadehh,0
laundry mahal,0
Katanya 24 jam,0
Not recommended pengantaran tidak sesuai janji jadi mundur 1 hari pelayanan kurang ramah di chat slow response untuk kabar nya cucian masih kotor dan untuk masuk ke laundry harus ke gang sempit jadi tidak bisa masuk mobil,0
entah kalau buat service yang lain tapi kalau buat spa tas unrecomended nggak ada perubahan sama sekali dari sebelum sama sesudah,0
saya laundry di sini menggunakan yang express baju saya sobek semua dalaman juga sama buat wanginya si oke tapi pengerjaan nya sembarangan ini terakhir kalinya saya laundry disini saya sangat kecewa dengan pelayanannya,0
Waktu kemarin saya ngelaundry si teteh tetehnya jutek banget kayak ga niat kerja Terus diamanahin buat dicuci sama tas totebag nya eh ngga diturutin terus pas saya ambil laundry an ciput saya nya ga ada hilang ditanyain malam ngeles katanya iya besok bakalan di cariin tapi ga ada tuh ngechat saya sampai 2 hari ngelupain begitu aja kapok dan kecewa ga mau lagi ngelaundry disini bye,0
Saya masukin laundry di chingu antapani hari senin 17 April 2023 saya mau pick up hari rabu 19 April 2023 belum selesai Katanya overload Kek mana ini,0
sesudah chek out saya mampir ke laundryan ini dan bilang ke pekerjanya apa yang hilang dan lipstik itu Dia bilang ga ada kaos kaki padahal saya lihat sendiri mbanya masukin ke mesinnya mbanya juga judes banget ga cocok jadi pekerja jadi saya pergi deh dengan kesal Hati hati aja buat barang barangnya takutnya seperti saya hehe,0
Seprei sama coverbad gua kelunturan Pas balikin buat di bersihin lagi enteng bangat bilang gak bisa Sama nih kek di gateway,0
Kurang BERSIH dan kurang wangi,0
Pakaian tercecer,0
Setrikaan kurang rapih,0
2x ilang pakaian disini bau wanginya ga harum dan lama pengerjaannya!,0
Laundry tidak amana nggak ada otak itu pegawai sudah malas saya cek,0
Sebelumnya saya sudah langganan disini tidak pernah ada masalah Sampai sebulan terakhir sudah beberapa kali saat mencuci laundry nya bau apek Coba mengajukan komplain via WA tapi pegawai malah ngeyel Mengecewakan selanjutnya tidak akan langganan di laundry ini lagi Mohon diperbaiki lagi Terima kasih,0
Kecewa gue sama laundry sini cuci sudah lambat ngehilangin celana jeans gua Hati hati gaes pake jasa laundry ini,0
Baju tertukar dan hilang Jika kita tegur mereka langsung tidak mau terima,0
Beberapa baju saya yang baru 1 kali pake dilaundry malah saya terima nambah kotor seperti tanda diinjak gitu Dan saya cuci tempat lain masih ada bekas kotoran dari laundry klin ini Staf hanya bilang mohon maaf tidak dikembalikan uang laundry saya nyesel banget,0
Sama kurir online pembayaran 9500 rupiah aja 500 rupiah nya minta di kembaliin ampun dah sama driver timbang 500 rupiah amalin aja kali kesian driver udah di potong pendapatan dari aplikator 20% lebih belum hujan hujannan Aku rasa management pemilik Laundry juga ikhlas genapin 500 rupiah tuk driver moal jatuh miskin mereun,0
Service terburuk yang pernah saya dapatkan Saya baru sadar kalau baju saya dan suami hilang dan saya ingat betul terakhir saya pakai sebelum di laundry Tidak hanya itu kami cukup kesal karna yang hilang hanya baju branded kami Dan 4 pcs pakaian hilang begitu saja!,0
Saya ngelaundry udah seminggu gak beres beres pelayanan pegawainya kurang bagus gak beres,0
Jasa laundry terburuk yang pernah ada! Jangan pernah pakai jasa di sini Saya punya bantal hancur rusak ga bersisa dan ga bisa klaim dengan alasan udah lewat dari24 jam Wong masih dalam bungkusan,0
Order express 6 jam ternyata minta tambahan waktu jadi 12 jam Setelah 12 jam dihubungi hanya di balas : besok kak Lalu tidak ada respon lagi Jangankan minta maaf respon pun tidak Tidak ada kejelasan,0
INI LAUNDRY TERPARAH! Jangan pernah laindry disini pertama kali laundry langsung baju hilang dihubungin Dan direspon ga ada balesan sama sekali ni laundry apa tempat nyolong baju,0
respon yang sangat lambat dan susah berkomunikasi dengan baik,0
baju hilang 1 Padahal sudah berulang kali pakai layanan laundry ini kirain bisa dipercaya ternyata engga Nyesel,0
disuruh nunggu lama tapi no tip minim empati,0
Ternyata dah banyak review jelek wkwk jangan nyuci disini pakaian luntur semua,0
Parah ini kena zong Di telepon ga diangkat,0
express sangat ke laundry lain saja,0
Layanan buruk,0
Baju masih kotor kaya ga di cuci gaakan lagi lagi deh kesini cukup 1x,0
Ribet si penerima order laundry,0
Pakaian kurang bersih,0
Pakai parfumnya juga pelit ga wangi,0
Nyesel,0
Pertama kali menggunakan jasa ini dan sangat kecewa,0
Laundry paling jelek seumur hidup saya baju hilang ga ada kejelasan lalu baju yang dicuci kena lunturan semua,0
Laundry ini sungguh TIDAK TERPERCAYA saya sangat kecewa sekali telah mencucikan baju disini,0
pengembalian laundry terlambat juga tidak ada konfirmasi sama sekali,0
pelayanan buruk tidak bertanggung jawab,0
Selalu telat minimal 1 hari,0
mahal untuk ukuran jogja,0
Sumpah ini jorok banget di celana ada noda dan bau nya ami,0
tidak bertanggungjawab,0
Buruk banget pelayanan tidak ramah,0
Pelayanan tidak ramah,0
pelayanan parah,0
Pelayanan kurang ramah,0
Karyawan nya gak banget gak cuma sekali aku kesana pokoknyaa gak ramah jadi gak nyaman,0
Pelayannya kurang ramah,0
tidak tepat waktu,0
yang kerja gak teliti,0
Cucian sering kurang kering,0
pelayannya tidak ramah,0
Pelayanan mengecewakan,0
tidak sesuai,0
ADMIN LAUNDRY TIDAK BISA DIHUBUNGI DAN DIKONFIRMASI TERKAIT PELAYANAN barang saya belum dikembalikan sejak seminggu yang lalu,0
Tidak teliti baju saya banyak yang kurang Sangat tidak professional,0
slow respon,0
kecewa dengan pelayanannya,0
Hasilnya sangat bagus dan memuaskan,1
Hasil laundry bagus dan wangi,1
Bagus,1
Pelayanan cepat dan parkir yg luas,1
Bersih wangi dan bisa delivery ke rumah,1
Memakai mesin modern jadi wajar harga mahal,1
Tempat londri dan dry clean yang ada di wilayah strategis,1
Laundry bersih wangi rapi harga premiun,1
bagus laundrynya,1
Pelayanan ramah dan cukup memuaskan,1
Pelayanan memuaskan,1
Sering salah tulis minta di anter tapi di tulis pickup,0
Tempatnya bagus dan bersih,1
Selalu memuaskan,1
Harga kualitas sesuai,1
recomended,1
Memuaskan,1
Well ada harga ada rupa,1
Cukup baik,1
Bersih dan rapi,1
bersih,1
Benar-benar Laundry terbaik di Kota Malang,1
Good job,1
The best for dryclean,1
Ah Tempat yang bagus untuk mencuci,1
Binatu pilihan bagus dry clean,1
cucian premium,1
Premium Lebih baik beli baju baru,0
Layanan hebat,1
Mewah laundry dengan hasil mewah,1
Terletak di lokasi yang sangat nyaman,1
Good service,1
Ok layanan cepat cucian bersih rapi wangi,1
Pelayanan ramah cepat bersih wangi dan terpercaya,1
Hasil laundry wangi dan rapi tapi untuk pelayanan chat kurang baik,1
Rapi wangi ramah tepat waktu recommended,1
cepat bersih respon baik terima kasih,1
Pelayanannya tepat waktu,1
Laundry bersih dan Rapi,1
Pemilik laundry komunikatif,1
Layanan luar biasa banyak sekali cucian yang dicuci dikeringkan dan dilipat rapi dalam lima jam Cucian saya sangat lembut dan baunya luar biasa Staf sangat menyenangkan saya sangat merekomendasikan mereka,1
Besar,1
Respon cepat untuk wisatawan,1
Pakaian itu berbau sangat harum,1
Layanan bagus,1
Cukup bagus,1
Mantap promonya asik mantep banget,1
Selalu puas dengan laundry di sini Mana antar jemput gratis Sukses selalu kilo laundry,1
Pelayanan ramah dan memuaskan,1
Terima Kasih Kilo Laundry sudah selalu tepat waktu bersih rapi dan saya tidak pernah kehilangan pakaian,1
Cuciannya bersih dan sangat wangi enak anter jemput layanan memuaskan,1
Bersih harum sudah berlangganan cocok buat anak kos harga ramah di kantong,1
Mantap bersih suka bau parfumnya,1
Best service bersih wangi dan cepat,1
Kilo laundry pengerjaannya rapi dan wangi semoga pelayanannya bisa terus ditingkatkan,1
pegawainya ramah wangi,1
laundry langganan di saat mager,1
Langganan di sini lumayan lama bagus banget pelayanannya dan murah,1
Suka banget laundry disini pengerjaannya cepet dan bersih Terimakasih Kilo Laundry,1
Udah langganan dari dulu bagus,1
Pelayanan baik wangi bersih dan recommended banget,1
The best Bersih dan cepat,1
Mantap laundrynya,1
Oke bisa antar jemput gratis dan ada event give a way,1
Sangat sat set mbak mbaknya di jamin bersih,1
Laundry andalan langganan paling bersih dan wangi,1
antar jemput gratis ditambah mbak yg ramah moga sukses selalu kilo laundry,1
Pelanggan lama yg ga ketinggalan dg promo menariknya,1
Bersih wangi cepat Dan tentunya pelayanan yang memuaskan,1
Punya pengalaman buruk saat laundry disini,0
semoga bisa langganan di kilo laundry,1
Pelayanan memuaskan kurir ramah,1
Kilo laundry nggak pernah mengecewakan Semoga semakin sukses,1
cs nya ramah hasil laundry nya wangi,1
Selalu banyak promonya sangat responsif,1
Sudah langganan dan OK,1
pelayanan memuaskan semoga bisa buka cabang baru lagi,1
Pelayanannya sangat memuaskan terimakasih,1
di jamin puas playananya wangi bersih nya kayak baru yg jaga juga ramah,1
Profesional dan terbaik menurut saya,1
Bisa antar jemput gratis,1
Cepat bersih murah Harga ekonomis fasilitas bagus sekali,1
Kilo laundry pelayanannya best,1
Puas dengan pelayananya bersih dan rapi harganya murah,1
bersih dan rapi harga terjangkau free ongkir lagi,1
Bagus pelayanan memuaskan,1
Bersih wangi rapi selalu puas,1
Cukup cepat cukup bersih,1
Terbaik,1
sudah langganan,1
Free ongkir walaupun jauh Pegawai nya ramah,1
laundry cepat bersih harga terjangkau,1
Ada salah satu pegawai favorit yg ramah banget,1
Layanan bagus,1
Pelayanan ramah,1
Sempurna,1
Laundry kiloan dengan harga yang terjangkau,1
Cepat bersih dan murah mantap,1
Cucian bersih dan tepat waktu,1
Keren,1
Mantap,1
Bersih wangi responsif,1
Suka sekali,1
Bersih wangi,1
Mantap,1
Langganan laundry dan bojo kotor selalu pick up dan baju bersih di delivery Wangi dan bersih Top mantap,1
Cucian bersih dan wangi,1
Tolong di perbaiki waktu pengerjaannya,0
Saya sudah berlangganan jasa laundry tersebut selama setahun dan meskipun permintaan saya agak rumit tetap ditangani dengan baik,1
Harganya murah cuciannya bersih dan pelayanannya memuaskan Dan yang terpenting cucian Anda bisa dijemput di rumah,1
Kerja bagus,1
Respon cepat adminnya Terima kasih kilo,1
Pengalaman terburuk yang pernah ada,0
Terbaik,1
Terbaik,1
Layanan hebat,1
Profesional terima kasih,1
Terburuk,0
Bersih pengerjaan juga cepat,1
Untuk pelayanan mbaknya judes gak ada senyum senyumnya,0
Selalu memuaskan hasilnya Dari segi harga ramah di kantong Banyakin promo aja,1
Dry clean baju kebaya yang penuh aksesoris aman banget disini Selesai tepat waktu,1
Laundry yang dihitung perbaju bagi anak kos demi keselamatan dompet mohon hindari laundry ini,0
Pelayanan nya baik ramah dan hasilnya memuaskan,1
Laundry and dry cleaning TERPERCAYA di Malang Jawa Timur,1
hasilnya memuaskan,1
Not recommended buat anak kos,0
Enak mantap,1
Saya mencuci syal rajutan saya di sini Sebenarnya teman-teman menyarankan untuk mencucinya sendiri agar bisa mengukur semangat mencucinya Dia takut jika dia mencuci pakaian pakaian rajutnya akan berantakan Tapi aku semakin malas Putus asa untuk mencuci pakaian Dan saya berhasil mendorong saudara perempuan saya untuk merawat selendang saya dengan sangat hati-hati Masalahnya butuh waktu lama Seminggu sendirian kelinci Dan ketika saya mengambil cucian saya alhamdulillah sangat bersih dan wangi Tidak ada rajutan yang longgar Dan juga lebih lembut Ini juga ekonomis untuk membayar hal hal yang menurut saya penting dua belas ribu tok Terima kasih kakak Akan datang ke sini lagi segera,1
Oke,1
Kata orang jawa harganya sama,1
Layanan bersih ramah dan sepadan dengan harganya,1
Oke,1
Bagus cukup rata dan bersih,1
Tempat terbaik untuk mengeringkan suite Anda,1
Ini benar-benar bodoh,0
Agak mahal tapi sepadan dengan hasilnya,1
Layanan bagus,1
Lebih dari harga,0
pelayanan memuaskan murah dan ramah makasih,1
pelayanan nya bagus launrdyannya juga bersih dan harum,1
Fast response tapi kurir masih kurang fokus,1
pelayanan sesuai harapan mantul,1
Packagingnya rapi tepat waktu Thanks,1
Hasilnya bersih Baunya wangi tahan lama,1
Bersih rapi dan wangi recomend bangett,1
Pelayanan mantap ramah,1
bersih pelayanan ramah,1
Laundry nya bersih,1
Pelayanan top,1
Wangi dan pelayanan ok,1
Cucian wangi pengerjaan cepat,1
Terbaikk,1
Pelayanan istimewa,1
Memuaskan Recommended Mantul,1
Sangat baik,1
Bagus,1
Sip,1
sangat puas,1
Bersih murah dan wangi recommended,1
Mereka secepat yang dijanjikan Layanan pelanggan lambat menanggapi pertanyaan,1
Bagus,1
Terjangkau dan sangat cepat saat Anda membutuhkannya,1
pelayanan bagus harga b,1
Hasilnya bisa diperdebatkan Atas,1
Respon lambat,0
Sangat dianjurkan,1
Sangat merekomendasikan Binatu Cepat,1
Mantap,1
sangat direkomendasikan,1
Cayo,1
absolutely fast,1
Nice laundry,1
Ahoy,1
Noda masih ada setrika tidak rapi cuma wangi doang Admin juga tidak responsif Tidak worth dengan harga yang lumayan diatas,0
Gak wangi masih lecek setrikan padahal sudah bayar mahal,0
Parah banget Cucian saya sudah 1 minggu ga jelas bagaimana Tutup sudah beberapa hari telpin ga diangkap padahal ONLINE wa tidak dibalas padahal ONLINE,0
Gak selalu baik karyawan nya yang ibu ibu Kecewa,0
Pelayananya buruk sekali sama lama,0
mahal,0
Hilang kancing ngomong nya pas dicuci sudah gaada,0
Terlambat tidak sesuai dengan apa yang disampaikan kepada konsumen,0
Nyari tempat laundry yg ada layanan antar jemputnya biar gausah keluar biaya lagi untuk ongkos pergi ambil anter cuciannya tapi disini tiap saya nyuci crew nya selalu gamau nganterin dengan berbagai alasan ujung nya di gosend atau ambil sendiri padahal jaraknya deket,0
MAHAL IYA BERSIH KAGAK BIKIN KOTOR YANG ADA SETRIKAAN SAMPE BERBEKAS NOT REKOMEND Buat temen temen pilih pilih lagi tempat laundry nya ya jangan sampe kayak gini 10rb/kg tapi kualitas jelek celana yang nersih tanpa noda jadi ada noda baju jadi ada bekas setrikaan,0
Kemarin nyuci hari ini ambilpas dicek ternyata celana jeans nya ga adadi wa ga direspon ditelepon ga diangkat,0
Order express 6 jam ternyata minta tambahan waktu jadi 12 jam Setelah 12 jam dihubungi hanya di balas besok kak Lalu tidak ada respon lagi Padahal baju urgent dibutuhkan dan saya harus berpindah lokasi Jangankan minta maaf respon pun tidak Tidak ada kejelasan,0
Untuk para driver saya kasih 1 alamat nya ga ngotak tidak sesuai app,0
